date,channel_group,sessions,users,cost,leads,sales,revenue,cpl,cac,romi,lead_conversion_rate,sale_conversion_rate,average_check
2026-03-13,Direct,12,8,1279.35,2,1,30000.00,639.68,1279.35,22.45,0.1667,0.5000,30000.00
2026-03-13,Internal,3,2,0,0,0,0,,,,0.0000,,
2026-03-13,Other,18,17,0,0,0,0,,,,0.0000,,
2026-03-13,Referral,74,67,0,1,0,0.00,0.00,,,0.0135,0.0000,
2026-03-13,SEO,13,13,0,1,1,30000.00,0.00,0.00,,0.0769,1.0000,30000.00
2026-03-12,Direct,3,3,0,0,0,0,,,,0.0000,,
2026-03-12,Internal,4,3,0,0,0,0,,,,0.0000,,
2026-03-12,Referral,63,58,0,0,0,0,,,,0.0000,,
2026-03-12,SEO,17,17,0,0,0,0,,,,0.0000,,
